payments,revenue,refund_amount,refund_ratio,pg_fee,contribution_before_variable_opex,within_72h_renewals,after_72h_renewals,main_expiries,sub_expiries,main_to_sub_conversions,renewal_rank_assessments,payback_qualifications,active_users_end,active_user_days,scenario
1492,43268000,2047400.0,0.04731903485254692,1618223.2000000002,39272376.8,383,109,149,1343,80,14,140,0,39435.0,보수적
1440,41760000,2279400.0,0.05458333333333333,1561824.0,37588776.0,318,122,162,1278,71,21,156,0,37908.0,보수적
1449,42021000,2453400.0,0.058385093167701865,1571585.4000000001,37666014.6,329,120,175,1274,74,13,168,0,38643.0,보수적
1446,41934000,2134400.0,0.05089903181189488,1568331.6,37901268.4,336,110,150,1296,67,16,146,0,38374.0,보수적
1446,41934000,1792200.0,0.04273858921161826,1568331.6,38243468.4,312,134,126,1320,51,17,120,0,38005.0,보수적
1465,42485000,2349000.0,0.0552901023890785,1588939.0,38217061.0,348,117,170,1295,78,15,159,0,39048.0,보수적
1494,43326000,2003900.0,0.0462516733601071,1620392.4000000001,39371707.6,369,125,145,1349,68,15,137,0,39468.0,보수적
1456,42224000,1818300.0,0.04306318681318681,1579177.6,38496522.4,343,113,132,1324,56,10,123,0,38581.0,보수적
1445,41905000,2143100.0,0.05114186851211073,1567247.0,37864653.0,333,112,154,1291,62,14,146,0,38240.0,보수적
1493,43297000,2340300.0,0.05405224380442063,1619307.8,39007392.2,355,138,170,1323,83,21,159,0,39352.0,보수적
1434,41586000,1806700.0,0.04344490934449093,1555316.4000000001,37893983.6,300,134,130,1304,59,13,124,0,37922.0,보수적
1431,41499000,2009700.0,0.048427672955974846,1552062.6,37607237.4,303,128,141,1290,67,16,138,0,37856.0,보수적
1447,41963000,1740000.0,0.0414651002073255,1569416.2000000002,38323583.8,331,116,124,1323,55,11,120,0,38084.0,보수적
1429,41441000,2012600.0,0.048565430370888736,1549893.4000000001,37548506.6,322,107,140,1289,53,13,137,0,37730.0,보수적
1418,41122000,2018400.0,0.04908321579689704,1537962.8,37235637.2,322,96,148,1270,67,9,138,0,37387.0,보수적
1494,43326000,1928500.0,0.044511378848728245,1620392.4000000001,39447107.6,346,148,141,1353,69,9,133,0,39130.0,보수적
1420,41180000,2172100.0,0.05274647887323944,1540132.0,37137768.0,309,111,156,1264,75,11,148,0,37520.0,보수적
1460,42340000,1937200.0,0.04575342465753424,1583516.0,38489284.0,337,123,137,1323,69,15,133,0,38285.0,보수적
1466,42514000,2148900.0,0.050545702592087315,1590023.6,38445076.4,341,125,154,1312,70,20,147,0,38642.0,보수적
1456,42224000,2192400.0,0.051923076923076926,1579177.6,38122422.4,335,121,159,1297,77,11,150,0,38265.0,보수적
1460,42340000,2073500.0,0.04897260273972603,1583516.0,38352984.0,346,114,144,1316,54,20,140,0,38651.0,보수적
1516,43964000,2308400.0,0.052506596306068604,1644253.6,39681346.4,379,137,164,1352,75,14,158,0,40012.0,보수적
1435,41615000,2099600.0,0.050452961672473866,1556401.0,37628999.0,305,130,148,1287,66,11,143,0,37938.0,보수적
1428,41412000,2175000.0,0.052521008403361345,1548808.8,37358191.2,306,122,154,1274,76,15,147,0,37901.0,보수적
1486,43094000,2099600.0,0.04872139973082099,1611715.6,39052684.4,341,145,149,1337,64,16,143,0,39308.0,보수적
1425,41325000,2140200.0,0.051789473684210524,1545555.0,37309245.0,314,111,153,1272,83,14,144,0,37668.0,보수적
1444,41876000,2151800.0,0.05138504155124654,1566162.4000000001,37828037.6,315,129,154,1290,72,16,146,0,38143.0,보수적
1441,41789000,2372200.0,0.05676613462873005,1562908.6,37523891.4,329,112,175,1266,85,15,163,0,38211.0,보수적
1464,42456000,2337400.0,0.05505464480874317,1587854.4000000001,38200745.6,364,100,168,1296,78,15,160,0,38855.0,보수적
1456,42224000,2119900.0,0.05020604395604396,1579177.6,38194922.4,318,138,154,1302,60,20,145,0,38472.0,보수적
1450,42050000,2073500.0,0.04931034482758621,1572670.0,38073830.0,307,143,148,1302,73,17,140,0,38313.0,보수적
1442,41818000,2259100.0,0.05402219140083218,1563993.2000000002,37664906.8,323,119,162,1280,67,20,154,0,37997.0,보수적
1410,40890000,2035800.0,0.04978723404255319,1529286.0,36994914.0,292,118,142,1268,55,17,138,0,37269.0,보수적
1479,42891000,2030000.0,0.04732927653820149,1604123.4000000001,38926876.6,357,122,147,1332,71,13,140,0,39144.0,보수적
1448,41992000,2030000.0,0.04834254143646409,1570500.8,38061499.2,314,134,144,1304,73,19,140,0,38128.0,보수적
1452,42108000,2201100.0,0.05227272727272727,1574839.2000000002,38002060.8,336,116,159,1293,86,11,150,0,38557.0,보수적
1420,41180000,2259100.0,0.054859154929577464,1540132.0,37050768.0,302,118,162,1258,72,17,154,0,37533.0,보수적
1471,42659000,2285200.0,0.05356900067980965,1595446.6,38448353.4,343,128,161,1310,80,18,157,0,38980.0,보수적
1436,41644000,1974900.0,0.04742339832869081,1557485.6,37781614.4,316,120,142,1294,63,13,135,0,37886.0,보수적
1458,42282000,2056100.0,0.048628257887517144,1581346.8,38314553.2,339,119,148,1310,70,16,140,0,38600.0,보수적
1406,40774000,1908200.0,0.04679943100995733,1524947.6,37010852.4,309,97,136,1270,59,15,131,0,37242.0,보수적
1454,42166000,2172100.0,0.0515130674002751,1577008.4000000001,38086891.6,335,119,157,1297,78,17,148,0,38394.0,보수적
1444,41876000,2140200.0,0.05110803324099723,1566162.4000000001,37839637.6,332,112,158,1286,75,14,147,0,38295.0,보수적
1431,41499000,2082200.0,0.050174703004891685,1552062.6,37534737.4,302,129,147,1284,63,10,143,0,37779.0,보수적
1436,41644000,2009700.0,0.04825905292479109,1557485.6,37746814.4,304,132,142,1294,65,18,138,0,37954.0,보수적
1414,41006000,2032900.0,0.04957567185289958,1533624.4000000001,37109475.6,303,111,145,1269,59,15,139,0,37432.0,보수적
1384,40136000,2085100.0,0.05195086705202312,1501086.4000000001,36219813.6,290,94,149,1235,64,14,142,0,36488.0,보수적
1448,41992000,1867600.0,0.044475138121546964,1570500.8,38223899.2,323,125,132,1316,60,15,127,0,38047.0,보수적
1430,41470000,2056100.0,0.04958041958041958,1550978.0,37532922.0,334,96,149,1281,71,10,140,0,37867.0,보수적
1493,43297000,2180800.0,0.05036838580040188,1619307.8,39166892.2,363,130,159,1334,82,13,148,0,39383.0,보수적
1410,40890000,1882100.0,0.046028368794326244,1529286.0,37148614.0,293,117,130,1280,45,19,128,0,37298.0,보수적
1428,41412000,1948800.0,0.047058823529411764,1548808.8,37584391.2,308,120,140,1288,53,17,132,0,37690.0,보수적
1460,42340000,2096700.0,0.04952054794520548,1583516.0,38329784.0,331,129,148,1312,68,18,144,0,38648.0,보수적
1431,41499000,2032900.0,0.048986722571628234,1552062.6,37584037.4,323,108,144,1287,63,12,139,0,37991.0,보수적
1480,42920000,2047400.0,0.0477027027027027,1605208.0,38937392.0,344,136,149,1331,69,14,140,0,39194.0,보수적
1414,41006000,2009700.0,0.04900990099009901,1533624.4000000001,37132675.6,309,105,145,1269,62,21,138,0,37609.0,보수적
1937,56173000,2618700.0,0.04661848218895199,2100870.2,51123429.8,743,194,198,1738,129,23,180,1,51089.43332427285,기준
1882,54578000,2433100.0,0.04458023379383635,2041217.2000000002,49773682.8,703,179,179,1703,122,17,166,0,49948.0,기준
1990,57710000,2723100.0,0.047185929648241205,2158354.0,52498546.0,773,217,194,1795,122,27,186,1,52512.82880761644,기준
1949,56521000,3210300.0,0.056798358132375576,2113885.4000000004,50866814.6,750,199,239,1710,157,34,219,0,51823.0,기준
1887,54723000,2528800.0,0.046210916799152096,2046640.2000000002,49817559.8,700,187,179,1708,109,26,172,0,49632.0,기준
1943,56347000,2914500.0,0.05172413793103448,2107377.8000000003,50995122.2,752,191,210,1733,139,19,198,0,51390.0,기준
1973,57217000,2960900.0,0.05174860618347694,2139915.8000000003,51786184.2,747,226,214,1757,144,32,203,2,52418.17889618574,기준
1864,54056000,2966700.0,0.05488197424892704,2021694.4000000001,48737605.6,689,175,216,1648,138,26,204,0,49242.0,기준
2077,60233000,3610500.0,0.05994222436206066,2252714.2,54039785.8,859,218,262,1814,178,36,246,1,55028.75882085542,기준
1878,54462000,2670900.0,0.04904153354632588,2036878.8,49424221.2,673,205,193,1685,119,16,183,0,49301.0,기준
2005,58145000,3059500.0,0.05261845386533666,2174623.0,52580877.0,810,195,224,1779,156,22,208,2,52875.91552228886,기준
1902,55158000,2833300.0,0.05136698212407992,2062909.2000000002,49931790.8,706,196,210,1692,135,30,193,0,50050.0,기준
1859,53911000,2612900.0,0.04846691769768693,2016271.4000000001,48951828.6,682,177,191,1668,112,23,179,0,49309.0,기준
1971,57159000,2894200.0,0.050634195839675294,2137746.6,51797053.4,752,219,216,1755,130,28,196,0,52003.0,기준
2035,59015000,3198700.0,0.054201474201474205,2207161.0,53279139.0,809,226,234,1800,154,20,217,1,53797.52267568286,기준
2027,58783000,2946400.0,0.0501233349777997,2198484.2,53308115.8,812,215,216,1811,140,30,202,0,53766.0,기준
1894,54926000,2807200.0,0.051108764519535374,2054232.4000000001,49734567.6,716,178,201,1693,130,23,193,0,49967.0,기준
1924,55796000,2407000.0,0.04313929313929314,2086770.4000000001,50972229.6,743,181,179,1745,116,16,166,0,50691.0,기준
2008,58232000,3033400.0,0.052091633466135455,2177876.8000000003,52690723.2,822,186,218,1790,143,18,208,0,53378.0,기준
1915,55535000,2853600.0,0.05138381201044386,2077009.0000000002,50274391.0,743,173,212,1702,137,22,195,1,50862.63011403574,기준
2059,59711000,2958000.0,0.04953861097620204,2233191.4000000004,54189808.6,846,213,218,1841,139,28,201,0,54611.0,기준
1959,56811000,2746300.0,0.048340990301174065,2124731.4000000004,51609968.6,753,206,194,1765,132,24,187,0,51782.0,기준
