refund_ratio,recipient_ratio,zero_pass_ratio,average_attacks,average_expiry_day,refund_50_ratio,refund_80_ratio,refund_100_ratio
0.054400000000000004,0.107,0.859,4.765,26.359,0.104,0.003,0.0
0.048100000000000004,0.095,0.835,4.567,26.388,0.093,0.002,0.0
0.047,0.094,0.847,4.63,26.346,0.094,0.0,0.0
0.05190000000000001,0.102,0.851,4.659,26.375,0.099,0.003,0.0
0.054700000000000006,0.107,0.842,4.552,26.415,0.103,0.004,0.0
0.054900000000000004,0.108,0.852,4.578,26.466,0.105,0.003,0.0
0.0511,0.101,0.847,4.512,26.394,0.099,0.002,0.0
0.0466,0.092,0.84,4.465,26.448,0.09,0.002,0.0
0.047,0.094,0.841,4.302,26.456,0.094,0.0,0.0
0.048100000000000004,0.095,0.852,4.798,26.359,0.093,0.002,0.0
0.048299999999999996,0.096,0.852,4.521,26.333,0.095,0.001,0.0
0.0555,0.111,0.849,4.68,26.452,0.111,0.0,0.0
0.0495,0.099,0.853,4.567,26.426,0.099,0.0,0.0
0.0445,0.089,0.855,4.435,26.435,0.089,0.0,0.0
0.0536,0.106,0.835,4.618,26.336,0.104,0.002,0.0
0.0465,0.093,0.861,4.533,26.388,0.093,0.0,0.0
0.05790000000000001,0.114,0.843,4.643,26.38,0.111,0.003,0.0
0.048100000000000004,0.095,0.856,4.561,26.373,0.093,0.002,0.0
0.052700000000000004,0.103,0.849,4.503,26.423,0.099,0.004,0.0
0.0633,0.126,0.853,4.754,26.302,0.125,0.001,0.0
0.05,0.1,0.848,4.625,26.393,0.1,0.0,0.0
0.039299999999999995,0.078,0.847,4.452,26.467,0.077,0.001,0.0
0.047400000000000005,0.093,0.859,4.388,26.417,0.09,0.003,0.0
0.0487,0.095,0.855,4.696,26.398,0.091,0.004,0.0
0.053,0.106,0.846,4.487,26.449,0.106,0.0,0.0
0.0465,0.093,0.858,4.626,26.377,0.093,0.0,0.0
0.0438,0.087,0.856,4.233,26.509,0.086,0.001,0.0
0.0465,0.093,0.846,4.558,26.388,0.093,0.0,0.0
0.055200000000000006,0.108,0.845,4.484,26.452,0.104,0.004,0.0
0.046799999999999994,0.093,0.853,4.523,26.457,0.092,0.001,0.0
0.05190000000000001,0.102,0.84,4.545,26.419,0.099,0.003,0.0
0.0438,0.087,0.851,4.548,26.425,0.086,0.001,0.0
0.048299999999999996,0.096,0.855,4.456,26.488,0.095,0.001,0.0
0.0536,0.106,0.862,4.629,26.362,0.104,0.002,0.0
0.0523,0.104,0.862,4.571,26.363,0.103,0.001,0.0
0.05090000000000001,0.1,0.849,4.538,26.455,0.097,0.003,0.0
0.048799999999999996,0.097,0.858,4.435,26.462,0.096,0.001,0.0
0.0441,0.087,0.838,4.586,26.417,0.085,0.002,0.0
0.0531,0.105,0.851,4.516,26.412,0.103,0.002,0.0
0.052,0.104,0.841,4.508,26.426,0.104,0.0,0.0
0.0511,0.101,0.848,4.673,26.332,0.099,0.002,0.0
0.040600000000000004,0.08,0.853,4.433,26.406,0.078,0.002,0.0
0.048100000000000004,0.095,0.846,4.609,26.364,0.093,0.002,0.0
0.0455,0.091,0.861,4.629,26.339,0.091,0.0,0.0
0.0511,0.101,0.857,4.378,26.493,0.099,0.002,0.0
0.0539,0.106,0.845,4.617,26.345,0.103,0.003,0.0
0.0506,0.1,0.858,4.615,26.382,0.098,0.002,0.0
0.052700000000000004,0.103,0.855,4.671,26.383,0.099,0.004,0.0
0.0449,0.088,0.862,4.709,26.301,0.085,0.003,0.0
0.046,0.092,0.852,4.376,26.53,0.092,0.0,0.0
0.0365,0.073,0.863,4.484,26.408,0.073,0.0,0.0
0.048299999999999996,0.096,0.855,4.536,26.383,0.095,0.001,0.0
